,Airline,Date_of_Journey,Source,Destination,Route,Total_Stops,Additional_Info,Price,journey_year,journey_month,journey_day,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,duration_hr,duration_min
1921,Air India,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8879,2019,6,24,7,0,19,15,12,15
1922,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14571,2019,5,24,18,55,12,0,17,5
1923,IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,non-stop,No info,5644,2019,6,15,9,35,12,10,2,35
1924,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,9,6,6,30,4,40,22,10
1925,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14571,2019,9,6,14,5,23,35,9,30
1926,SpiceJet,2019-09-06,Banglore,Delhi,BLR → DEL,non-stop,No info,3971,2019,9,6,21,10,0,5,2,55
1927,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17024,2019,6,3,9,0,18,50,9,50
1928,SpiceJet,2019-05-15,Kolkata,Banglore,CCU → BLR,non-stop,No check-in baggage included,3841,2019,5,15,17,10,19,40,2,30
1929,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,27,19,45,19,0,23,15
1930,Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,No info,13376,2019,6,6,14,35,4,25,13,50
1931,Jet Airways,2019-06-15,Delhi,Cochin,DEL → IDR → BOM → COK,2 stops,In-flight meal not included,9905,2019,6,15,21,25,12,35,15,10
1932,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13587,2019,6,15,8,0,21,0,13,0
1933,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7740,2019,6,24,6,0,21,0,15,0
1934,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,9794,2019,5,21,6,0,12,35,6,35
1935,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,17471,2019,6,3,22,50,21,20,22,30
1936,Jet Airways,2019-09-03,Delhi,Cochin,DEL → IXC → BOM → COK,2 stops,In-flight meal not included,15129,2019,9,3,13,45,4,25,14,40
1937,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,11467,2019,1,5,9,35,14,25,28,50
1938,Air India,2019-12-06,Kolkata,Banglore,CCU → MAA → BLR,1 stop,No info,6528,2019,12,6,14,35,14,35,24,0
1939,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8266,2019,6,27,7,30,19,15,11,45
1940,IndiGo,2019-06-03,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6442,2019,6,3,6,40,22,20,15,40
1941,Jet Airways,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,12,6,22,50,12,35,13,45
1942,Jet Airways,2019-01-03,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,17501,2019,1,3,7,10,8,35,1,25
1943,Air India,2019-05-24,Banglore,Delhi,BLR → DEL,non-stop,No info,8273,2019,5,24,6,10,8,55,2,45
1944,Air India,2019-03-21,Delhi,Cochin,DEL → LKO → BOM → COK,2 stops,No info,10703,2019,3,21,18,30,19,15,24,45
1945,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8510,2019,6,15,10,0,1,30,15,30
1946,IndiGo,2019-03-15,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,2754,2019,3,15,20,5,21,35,1,30
1947,IndiGo,2019-05-18,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,2227,2019,5,18,21,20,22,50,1,30
1948,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → IXU → BOM → COK,2 stops,No info,18275,2019,6,27,17,50,1,30,7,40
1949,SpiceJet,2019-04-21,Delhi,Cochin,DEL → PNQ → COK,1 stop,No check-in baggage included,6356,2019,4,21,8,45,13,15,4,30
1950,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14781,2019,5,15,14,5,20,45,6,40
1951,Jet Airways,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,In-flight meal not included,13029,2019,5,27,9,40,12,35,26,55
1952,GoAir,2019-01-05,Banglore,Delhi,BLR → DEL,non-stop,No info,4340,2019,1,5,11,40,14,30,2,50
1953,Air India,2019-12-06,Kolkata,Banglore,CCU → DEL → COK → BLR,2 stops,No info,12224,2019,12,6,17,30,13,45,20,15
1954,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,5,24,16,30,18,15,25,45
1955,IndiGo,2019-04-15,Kolkata,Banglore,CCU → BLR,non-stop,No info,4174,2019,4,15,9,35,12,20,2,45
1956,Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → VGA → DEL,2 stops,No info,14887,2019,1,3,17,0,22,55,29,55
1957,Multiple carriers,2019-09-04,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,12853,2019,9,4,9,0,19,15,10,15
1958,Air Asia,2019-05-15,Banglore,Delhi,BLR → DEL,non-stop,No info,3383,2019,5,15,11,10,13,55,2,45
1959,GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,11111,2019,1,3,11,40,14,35,2,55
1960,Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,non-stop,No info,7229,2019,1,4,17,45,20,45,3,0
1961,Jet Airways,2019-06-05,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,4030,2019,6,5,17,45,20,45,3,0
1962,IndiGo,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14871,2019,3,3,15,0,1,35,10,35
1963,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,27,19,45,4,25,8,40
1964,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14533,2019,5,18,11,30,19,15,7,45
1965,Air India,2019-06-06,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,7258,2019,6,6,17,40,8,15,14,35
1966,SpiceJet,2019-01-04,Delhi,Cochin,DEL → PNQ → COK,1 stop,No info,4812,2019,1,4,8,45,13,15,4,30
1967,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,12384,2019,9,5,9,35,21,5,11,30
1968,Air India,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,No info,8603,2019,6,6,12,0,7,40,19,40
1969,Air India,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,No info,8603,2019,6,6,12,0,19,15,7,15
1970,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14231,2019,3,24,13,55,23,25,9,30
1971,Jet Airways,2019-09-05,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,15129,2019,9,5,23,5,4,25,29,20
1972,Air Asia,2019-01-06,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,11410,2019,1,6,20,45,7,10,10,25
1973,Air India,2019-12-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,2 stops,No info,12725,2019,12,3,8,50,9,25,24,35
1974,Jet Airways,2019-09-06,Delhi,Cochin,DEL → IDR → BOM → COK,2 stops,No info,13292,2019,9,6,9,35,12,35,27,0
1975,SpiceJet,2019-04-24,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,2019,4,24,6,55,9,30,2,35
1976,IndiGo,2019-06-15,Chennai,Kolkata,MAA → CCU,non-stop,No info,3850,2019,6,15,7,55,10,15,2,20
1977,SpiceJet,2019-09-06,Kolkata,Banglore,CCU → KNU → BLR,1 stop,No info,8479,2019,9,6,11,35,18,50,7,15
1978,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,14151,2019,5,24,9,35,23,35,14,0
1979,Air India,2019-04-24,Banglore,Delhi,BLR → DEL,non-stop,No info,5228,2019,4,24,6,10,8,55,2,45
1980,Vistara,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,9397,2019,9,6,7,10,9,5,25,55
1981,Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,non-stop,In-flight meal not included,4995,2019,6,18,7,5,8,30,1,25
1982,Air India,2019-01-06,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,10651,2019,1,6,19,45,19,15,23,30
1983,Air Asia,2019-03-04,Banglore,Delhi,BLR → DEL,non-stop,No info,4282,2019,3,4,4,55,7,45,2,50
1984,Air India,2019-05-21,Kolkata,Banglore,CCU → JAI → BOM → BLR,2 stops,No info,10697,2019,5,21,8,20,21,50,13,30
1985,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,9314,2019,5,21,9,35,14,25,28,50
1986,IndiGo,2019-06-27,Chennai,Kolkata,MAA → CCU,non-stop,No info,3540,2019,6,27,5,15,7,40,2,25
1987,Air India,2019-12-06,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,9443,2019,12,6,16,40,19,15,26,35
1988,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15147,2019,6,3,7,30,15,30,8,0
1989,Jet Airways,2019-06-27,Banglore,Delhi,BLR → DEL,non-stop,No info,8016,2019,6,27,8,20,11,20,3,0
1990,IndiGo,2019-05-24,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,2437,2019,5,24,21,20,22,50,1,30
1991,IndiGo,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6104,2019,5,27,10,35,1,30,14,55
1992,SpiceJet,2019-06-06,Mumbai,Hyderabad,BOM → HYD,non-stop,No check-in baggage included,1965,2019,6,6,22,45,0,15,1,30
1993,Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7408,2019,12,6,13,0,21,0,8,0
1994,IndiGo,2019-06-18,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,4049,2019,6,18,6,25,7,55,1,30
1995,Jet Airways,2019-01-06,Banglore,Delhi,BLR → DEL,non-stop,No info,8016,2019,1,6,19,50,22,50,3,0
1996,Multiple carriers,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,10197,2019,9,5,7,0,19,0,12,0
1997,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,1,5,21,10,8,15,11,5
1998,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,12692,2019,9,6,17,0,19,10,26,10
1999,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14781,2019,6,5,8,25,16,20,7,55
2000,GoAir,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,7335,2019,5,24,23,30,7,45,8,15
2001,Jet Airways,2019-05-27,Banglore,Delhi,BLR → DEL,non-stop,No info,7229,2019,5,27,8,20,11,20,3,0
2002,Vistara,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,4353,2019,3,24,21,10,0,5,2,55
2003,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13941,2019,5,18,20,0,8,15,12,15
2004,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → MAA → DEL,1 stop,No info,12295,2019,12,3,9,45,14,25,4,40
2005,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,27,22,50,12,35,13,45
2006,Vistara,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,7927,2019,9,5,7,10,22,40,15,30
2007,Air Asia,2019-04-15,Banglore,Delhi,BLR → DEL,non-stop,No info,4483,2019,4,15,23,55,2,45,2,50
2008,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,19225,2019,6,3,11,40,18,25,6,45
2009,GoAir,2019-04-24,Delhi,Cochin,DEL → AMD → COK,1 stop,No info,4692,2019,4,24,7,25,13,35,6,10
2010,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,13555,2019,3,18,21,25,9,30,12,5
2011,IndiGo,2019-09-04,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6270,2019,9,4,15,0,1,30,10,30
2012,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13584,2019,6,5,18,55,16,20,21,25
2013,Jet Airways,2019-03-21,Delhi,Cochin,DEL → MAA → BOM → COK,2 stops,No info,13180,2019,3,21,16,10,18,50,26,40
2014,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,14151,2019,12,5,20,25,18,0,21,35
2015,Vistara,2019-12-05,Delhi,Cochin,DEL → COK,non-stop,No info,6216,2019,12,5,6,0,9,10,3,10
2016,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15135,2019,3,3,7,30,18,50,11,20
2017,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,15136,2019,6,3,11,30,21,0,9,30
2018,Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,27,2,15,19,0,16,45
2019,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,12384,2019,5,18,9,35,22,5,12,30
2020,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,9314,2019,1,4,9,35,19,10,9,35
2021,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,9314,2019,6,5,17,0,18,0,25,0
2022,Air India,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,10454,2019,1,6,9,0,19,15,10,15
2023,Air India,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8372,2019,5,18,23,0,7,40,8,40
2024,Jet Airways,2019-09-03,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,11848,2019,9,3,19,45,4,25,8,40
2025,IndiGo,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6416,2019,1,6,8,30,21,0,12,30
2026,IndiGo,2019-01-04,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,3342,2019,1,4,9,10,10,40,1,30
2027,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → PNQ → BLR,2 stops,In-flight meal not included,10118,2019,6,6,6,30,7,25,24,55
2028,Air India,2019-12-06,Kolkata,Banglore,CCU → GAU → DEL → BLR,2 stops,No info,14960,2019,12,6,16,45,12,30,19,45
2029,IndiGo,2019-06-15,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6818,2019,6,15,5,5,16,10,11,5
2030,Air India,2019-12-06,Kolkata,Banglore,CCU → BLR,non-stop,No info,5510,2019,12,6,14,15,16,45,2,30
2031,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14388,2019,5,21,6,30,9,20,26,50
2032,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,7038,2019,3,6,14,55,22,30,7,35
2033,Multiple carriers,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8266,2019,9,5,8,45,19,15,10,30
2034,Jet Airways,2019-06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,No info,14300,2019,6,27,18,20,19,0,24,40
2035,Air India,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,8366,2019,9,5,9,25,7,55,22,30
2036,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,17261,2019,6,3,22,50,10,25,11,35
2037,Vistara,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,8452,2019,6,6,7,10,9,5,25,55
2038,IndiGo,2019-01-04,Kolkata,Banglore,CCU → GAU → BLR,1 stop,No info,8567,2019,1,4,15,10,20,30,5,20
2039,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,9646,2019,6,15,7,5,22,30,15,25
2040,Air India,2019-09-04,Delhi,Cochin,DEL → GOI → BOM → COK,2 stops,No info,8341,2019,9,4,22,0,19,15,21,15
2041,Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12373,2019,9,5,17,30,19,0,25,30
2042,SpiceJet,2019-06-21,Chennai,Kolkata,MAA → CCU,non-stop,No check-in baggage included,3543,2019,6,21,17,45,20,5,2,20
2043,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,13994,2019,9,6,17,0,23,35,6,35
2044,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,4777,2019,3,24,4,0,6,50,2,50
2045,Multiple carriers,2019-01-06,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,7038,2019,1,6,14,55,22,30,7,35
2046,IndiGo,2019-03-04,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,3175,2019,3,4,16,55,18,25,1,30
2047,Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7408,2019,9,6,10,0,21,0,11,0
2048,IndiGo,2019-06-15,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,6,15,21,15,0,15,3,0
2049,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15974,2019,6,3,8,0,4,25,20,25
2050,SpiceJet,2019-05-27,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,2019,5,27,6,55,9,30,2,35
2051,IndiGo,2019-04-15,Banglore,Delhi,BLR → DEL,non-stop,No info,4423,2019,4,15,10,10,13,0,2,50
2052,Jet Airways,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,No info,15129,2019,5,27,9,40,4,25,18,45
2053,IndiGo,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8285,2019,3,21,8,25,21,0,12,35
2054,Air India,2019-06-06,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,3100,2019,6,6,6,20,7,40,1,20
2055,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,2 stops,No info,25430,2019,1,3,8,50,9,25,24,35
2056,SpiceJet,2019-03-18,Mumbai,Hyderabad,BOM → HYD,non-stop,No check-in baggage included,2385,2019,3,18,13,10,14,30,1,20
2057,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → GAU → BLR,1 stop,No info,11316,2019,6,6,10,20,17,35,7,15
2058,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,15,2,15,19,0,16,45
2059,Air India,2019-05-24,Kolkata,Banglore,CCU → IXR → BBI → BLR,2 stops,No info,7662,2019,5,24,5,50,13,15,7,25
2060,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14231,2019,3,24,16,55,19,40,26,45
2061,IndiGo,2019-09-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6838,2019,9,6,9,15,21,0,11,45
2062,Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,No info,13376,2019,6,15,6,45,4,25,21,40
2063,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,24,15,0,19,0,28,0
2064,IndiGo,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8574,2019,3,27,7,30,15,30,8,0
2065,Jet Airways,2019-09-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,7832,2019,9,3,21,25,7,40,10,15
2066,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,12192,2019,6,24,3,50,19,0,15,10
2067,Jet Airways,2019-06-15,Mumbai,Hyderabad,BOM → HYD,non-stop,In-flight meal not included,4050,2019,6,15,10,20,11,50,1,30
2068,GoAir,2019-12-04,Banglore,Delhi,BLR → DEL,non-stop,No info,6722,2019,12,4,7,45,10,40,2,55
2069,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,9,6,20,0,16,20,20,20
2070,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7408,2019,6,15,7,0,21,0,14,0
2071,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14189,2019,3,21,20,50,4,25,7,35
2072,SpiceJet,2019-05-24,Kolkata,Banglore,CCU → BLR,non-stop,No check-in baggage included,3841,2019,5,24,17,10,19,40,2,30
2073,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,8586,2019,9,5,14,5,4,40,14,35
2074,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7155,2019,6,27,10,35,19,15,8,40
2075,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9899,2019,12,6,8,25,18,15,9,50
2076,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14571,2019,6,6,8,25,19,50,11,25
2077,IndiGo,2019-05-18,Banglore,Delhi,BLR → DEL,non-stop,No info,4823,2019,5,18,18,55,21,50,2,55
2078,Jet Airways,2019-09-05,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,4544,2019,9,5,8,20,11,20,3,0
2079,Air India,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,1 stop,1 Long layover,14752,2019,1,3,0,30,20,30,20,0
2080,Air India,2019-09-05,Kolkata,Banglore,CCU → BOM → COK → BLR,2 stops,No info,11542,2019,9,5,9,25,13,45,28,20
2081,Jet Airways,2019-05-21,Delhi,Cochin,DEL → COK,non-stop,In-flight meal not included,7202,2019,5,21,9,50,13,5,3,15
2082,Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,11098,2019,9,6,10,35,19,0,8,25
2083,Air India,2019-03-27,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,2575,2019,3,27,19,30,20,45,1,15
2084,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6673,2019,3,27,13,0,1,35,12,35
2085,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,14306,2019,1,3,18,55,21,45,2,50
2086,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15554,2019,5,18,21,50,4,25,6,35
2087,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,9314,2019,5,15,9,35,14,25,28,50
2088,Jet Airways,2019-09-03,Mumbai,Hyderabad,BOM → HYD,non-stop,In-flight meal not included,4995,2019,9,3,6,30,8,0,1,30
2089,Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,7832,2019,3,21,11,40,7,40,20,0
2090,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,8586,2019,5,21,8,25,8,15,23,50
2091,Air India,2019-04-27,Delhi,Cochin,DEL → COK,non-stop,No info,6094,2019,4,27,5,10,8,0,2,50
2092,Jet Airways,2019-06-24,Delhi,Cochin,DEL → IDR → BOM → COK,2 stops,No info,13292,2019,6,24,5,30,19,0,13,30
2093,Jet Airways,2019-09-06,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,In-flight meal not included,10368,2019,9,6,5,30,4,25,22,55
2094,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,9718,2019,5,27,10,0,21,0,11,0
2095,Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,7412,2019,3,21,8,55,7,40,22,45
2096,Air India,2019-06-06,Delhi,Cochin,DEL → GOI → BOM → COK,2 stops,No info,10441,2019,6,6,22,0,19,15,21,15
2097,IndiGo,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14871,2019,3,3,10,45,1,35,14,50
2098,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15554,2019,5,18,8,0,19,0,11,0
2099,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,36235,2019,1,3,14,5,19,10,5,5
2100,IndiGo,2019-03-24,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,3175,2019,3,24,16,55,18,25,1,30
2101,SpiceJet,2019-05-24,Chennai,Kolkata,MAA → CCU,non-stop,No info,3597,2019,5,24,17,45,20,5,2,20
2102,SpiceJet,2019-06-27,Mumbai,Hyderabad,BOM → HYD,non-stop,No check-in baggage included,1965,2019,6,27,13,15,14,45,1,30
2103,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,12717,2019,6,24,10,0,19,0,9,0
2104,IndiGo,2019-03-06,Delhi,Cochin,DEL → COK,non-stop,No info,6015,2019,3,6,14,25,17,40,3,15
2105,Air Asia,2019-09-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,5615,2019,9,3,23,25,2,10,2,45
2106,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7845,2019,3,27,19,0,1,35,6,35
2107,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,9,6,21,10,22,35,25,25
2108,Jet Airways,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,27210,2019,3,15,21,25,5,5,7,40
2109,IndiGo,2019-06-04,Kolkata,Banglore,CCU → BLR,non-stop,No info,4174,2019,6,4,14,25,16,55,2,30
2110,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6883,2019,3,21,8,0,21,0,13,0
2111,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6883,2019,3,21,9,0,21,0,12,0
2112,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → GAU → BLR,1 stop,No info,8355,2019,5,21,10,20,17,35,7,15
2113,SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No check-in baggage included,5469,2019,3,24,20,30,23,20,2,50
2114,Jet Airways,2019-06-27,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,6478,2019,6,27,6,0,8,45,2,45
2115,Vistara,2019-03-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,11913,2019,3,3,19,40,22,20,2,40
2116,IndiGo,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7006,2019,5,21,18,35,1,30,6,55
2117,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,12681,2019,1,4,16,30,22,35,6,5
2118,Jet Airways,2019-05-21,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,15129,2019,5,21,23,5,19,0,19,55
2119,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13587,2019,6,15,14,0,21,0,7,0
